subnum,condition,order,zthresh,age
2033,Baseline,1,1.79332632947091,9.24
2301,Baseline,1,-0.277054923835766,7.96
2302,Baseline,1,-0.691131174497102,8.05
2303,Baseline,3,1.27189697678627,10.96
2304,Baseline,3,0.00775942847097132,11.56
2305,Baseline,1,0.434980956931083,8.67
2312,Baseline,3,1.26589587170422,14.37
2313,Baseline,1,1.73198169974331,12.55
2314,Baseline,1,-0.42951437124702,13.21
2317,Baseline,2,-0.895789551260749,10.95
2318,Baseline,4,1.34540476585642,11.77
2319,Baseline,4,0.298902988606749,13.44
2320,Baseline,3,-0.618832146603854,11.31
2322,Baseline,4,-0.331428572912508,12.92
2324,Baseline,1,0.548906697853777,12.01
2326,Baseline,1,0.0419371507477816,10.2
2328,Baseline,2,-0.675795017065201,11.18
2330,Baseline,2,-0.169701821812456,10.04
2332,Baseline,4,-0.325387056348424,9.44
2336,Baseline,4,-0.723643828252733,9.19
2337,Baseline,3,-0.47072868340435,10
2422,Baseline,3,0.0959600020885431,12.45
2424,Baseline,3,2.01968801316578,10.9
2447,Baseline,1,2.28408336729175,12.59
2461,Baseline,4,-0.875165063679918,11.97
2033,Blindfold,4,2.43744494161077,9.24
2301,Blindfold,2,-0.428955911732693,7.96
2302,Blindfold,3,-0.813820433952314,8.05
2303,Blindfold,4,1.76265401460711,10.96
2304,Blindfold,2,-0.220092053374419,11.56
2305,Blindfold,2,1.37486831954332,8.67
2312,Blindfold,1,1.23122282011905,14.37
2313,Blindfold,2,1.6399647551519,12.55
2314,Blindfold,3,-0.476424970450483,13.21
2317,Blindfold,4,-0.785792284162977,10.95
2318,Blindfold,3,1.15290954843531,11.77
2319,Blindfold,3,0.239830382202392,13.44
2320,Blindfold,4,-0.675795017065201,11.31
2322,Blindfold,2,-0.403926771681496,12.92
2324,Blindfold,3,-0.134647747682395,12.01
2326,Blindfold,4,0.998913374498425,10.2
2328,Blindfold,3,0.221370192701027,11.18
2330,Blindfold,3,-0.139029506948652,10.04
2332,Blindfold,1,-0.277054923835766,9.44
2336,Blindfold,2,-0.627946205877668,9.19
2337,Blindfold,4,-0.869468776633785,10
2422,Blindfold,2,0.121685169393669,12.45
2424,Blindfold,2,2.05158722062413,10.9
2447,Blindfold,2,2.22273873756416,12.59
2461,Blindfold,1,-0.908393404782369,11.97
2033,Motor Interference,2,0.535761420055005,9.24
2301,Motor Interference,3,-1.20744847470445,7.96
2302,Motor Interference,2,-0.89050122111182,8.05
2303,Motor Interference,2,0.290382901144582,10.96
2304,Motor Interference,1,-1.13149798075598,11.56
2305,Motor Interference,4,-0.419462099989137,8.67
2312,Motor Interference,2,-1.26523689401306,14.37
2313,Motor Interference,3,-0.0470125623572447,12.55
2314,Motor Interference,4,-1.21526690790502,13.21
2317,Motor Interference,3,-1.10203442706908,10.95
2318,Motor Interference,2,-1.1157840854563,11.77
2319,Motor Interference,2,-0.528113501054299,13.44
2320,Motor Interference,2,-0.846683628449244,11.31
2322,Motor Interference,1,-1.27390515690935,12.92
2324,Motor Interference,2,-1.18846085121733,12.01
2326,Motor Interference,3,-0.787442243169442,10.2
2328,Motor Interference,4,-1.07453511029463,11.18
2330,Motor Interference,1,-0.951845850839423,10.04
2332,Motor Interference,3,-1.11078420967913,9.44
2336,Motor Interference,1,-0.707694224523555,9.19
2337,Motor Interference,2,-1.21124599940187,10
2422,Motor Interference,1,-0.572894347844702,12.45
2424,Motor Interference,4,-0.324903735023298,10.9
2447,Motor Interference,3,1.42525855110528,12.59
2461,Motor Interference,2,-1.15760596305077,11.97
2033,Sit on Hands,3,2.49878957133839,9.24
2301,Sit on Hands,4,-0.0871786889646052,7.96
2302,Sit on Hands,4,-0.905837378543722,8.05
2303,Sit on Hands,1,1.05719077273965,10.96
2304,Sit on Hands,4,0.00775942847097132,11.56
2305,Sit on Hands,3,0.292573780777712,8.67
2312,Sit on Hands,4,0.88449230426737,14.37
2313,Sit on Hands,4,0.903829198420636,12.55
2314,Sit on Hands,2,-0.546790869255676,13.21
2317,Sit on Hands,1,-1.00578681835852,10.95
2318,Sit on Hands,1,1.45540203295419,11.77
2319,Sit on Hands,1,-0.291823075436857,13.44
2320,Sit on Hands,1,-0.704276452295874,11.31
2322,Sit on Hands,3,-0.838915964295424,12.92
2324,Sit on Hands,4,0.321055216008386,12.01
2326,Sit on Hands,2,0.456626847706394,10.2
2328,Sit on Hands,1,0.121685169393669,11.18
2330,Sit on Hands,4,-0.292391081267668,10.04
2332,Sit on Hands,2,-0.470383453886399,9.44
2336,Sit on Hands,3,-0.245155716377411,9.19
2337,Sit on Hands,1,-0.698580165249741,10
2422,Sit on Hands,4,-0.109841336352454,12.45
2424,Sit on Hands,1,0.105735565664491,10.9
2447,Sit on Hands,4,1.57862012542429,12.59
2461,Sit on Hands,3,-0.958235916436049,11.97
